add-m,1,10000,20000,775686,38,0
add-s,1,10000,20000,421401,21,0
add-m,2,10000,40000,6089933,152,0
add-s,2,10000,40000,5631861,140,0
add-m,4,10000,80000,16277446,203,0
add-s,4,10000,80000,29055410,363,0
add-m,8,10000,160000,25632956,160,0
add-s,8,10000,160000,123971849,774,0
add-m,12,10000,240000,34981546,145,0
add-s,12,10000,240000,259904592,1082,0
list-none-m,1,1000,1,3000,2835365,945,47
list-none-s,1,1000,1,3000,2668244,889,0
list-none-m,2,1000,1,6000,16864672,2810,4222
list-none-s,2,1000,1,6000,6620163,1103,0
list-none-m,4,1000,1,12000,71365215,5947,26405
list-none-s,4,1000,1,12000,34620349,2885,0
list-none-m,8,1000,1,24000,282825828,11784,115847
list-none-s,8,1000,1,24000,158842691,6618,0
list-none-m,12,1000,1,36000,629717268,17492,258410
list-none-s,12,1000,1,36000,439528470,12209,0
list-none-m,16,1000,1,48000,1354291162,28214,536830
list-none-s,16,1000,1,48000,852385400,17758,0
list-none-m,24,1000,1,72000,2967990364,41222,1185919
list-none-s,24,1000,1,72000,2514746530,34927,0
